http://linkedeconomy.org/resource/Organization/997615158/6001;http://linkedeconomy.org/resource/Municipality/9015;Municipality of Abdera;
http://linkedeconomy.org/resource/Organization/090098820;http://linkedeconomy.org/resource/Municipality/9274;Municipality of Agathonisi;
http://linkedeconomy.org/resource/Organization/099711740;http://linkedeconomy.org/resource/Municipality/9097;Municipality of Agia;
http://linkedeconomy.org/resource/Organization/0900338714;http://linkedeconomy.org/resource/Municipality/9179;Municipality of Agia Varvara;
http://linkedeconomy.org/resource/Organization/090085626;http://linkedeconomy.org/resource/Municipality/9167;Municipality of Agia Paraskevi;
http://linkedeconomy.org/resource/Organization/997820848;http://linkedeconomy.org/resource/Municipality/9314;Municipality of Agios Vasileios;
http://linkedeconomy.org/resource/Organization/090317374;http://linkedeconomy.org/resource/Municipality/9194;Municipality of Agios Dimitrios;
http://linkedeconomy.org/resource/Organization/090390252;http://linkedeconomy.org/resource/Municipality/9262;Municipality of Agios Efstratios;
http://linkedeconomy.org/resource/Organization/090093325;http://linkedeconomy.org/resource/Municipality/9310;Municipality of Agios Nikolaos;
http://linkedeconomy.org/resource/Organization/998396742/6009;http://linkedeconomy.org/resource/Municipality/9180;Municipality of Agioi Anargyroi-Kamatero;
http://linkedeconomy.org/resource/Organization/090046940;http://linkedeconomy.org/resource/Municipality/9207;Municipality of Angistri;
http://linkedeconomy.org/resource/Organization/998895727;http://linkedeconomy.org/resource/Municipality/9156;Municipality of Agrafa;
http://linkedeconomy.org/resource/Organization/997699780;http://linkedeconomy.org/resource/Municipality/9123;Municipality of Agrinio;
http://linkedeconomy.org/resource/Organization/090025537;http://linkedeconomy.org/resource/Municipality/9186;Municipality of Athens;
http://linkedeconomy.org/resource/Organization/09;http://linkedeconomy.org/resource/Municipality/9181;Municipality of Aigaleo;
http://linkedeconomy.org/resource/Organization/997934121;http://linkedeconomy.org/resource/Municipality/9130;Municipality of Aigialeia;
